cell_name,OP_STD,wk_planned_hc,schedule_factor
CONTROL-C2,,8,90
DENALI-C39,,11,125
DENALI-C39,,11,131
DENALI-C39,,11,77
F40-C25,,9,79
F40-C25,,9,82
F40-C25,,9,82
F40-C25,,9,100
F40-C25,,9,82
F40-C25,,9,82
F40-C25,,9,87
F40-C25,,9,82
F40-C25,,9,82
F51-C22,,9,121
F51-C22,,9,106
F51-C22,,9,101
F51-C22,,9,100
F51-C22,,9,112
F51-C22,,9,108
F51-C22,,9,111
F51-C22,,9,111
F51-C22,,9,111
FB-C21,,13,129
FB-C37,,9,73
FB-C37,,9,67
FB-C37,,9,93
FB-C37,,5,34
FB-C37,,5,32
FB-C37,,5,44
FCUST-C29,,7,54
FCUST-C29,,7,54
FCUST-C29,,7,62
FCUST-C29,,7,148
FCUST-C29,,7,123
FCUST-C29,,7,141
FCUST-C29,,7,135
FCUST-C29,,7,130
FCUST-C28,,2,28
FCUST-C28,,2,31
FCUST-C28,,2,47
FCUST-C28,,2,84
FCUST-C28,,2,69
FCUST-C28,,2,58
FCUST-C28,,2,58
FCUST-C28,,2,53
FG-C18,,4,69
FG-C18,,4,68
FG-C188,,4,61
FG-C188,,4,45
HIOC-C34,,5,74
HIOC-C34,,5,67
HIOC-C34,,5,170
HIOC-C34,,5,255
HIOC-C34,,5,181
HIOC-C34,,5,127
HIOC-C34,,5,211
HIOC-C34,,5,161
FCUST-C28,,4,36
FCUST-C28,,4,36
FCUST-C28,,4,47
FCUST-C28,,4,46
FCUST-C28,,4,57
FCUST-C28,,4,57
FCUST-C28,,4,53
FCUST-C28,,4,89
FCUST-C28,,4,36
FGRIP-C11,,7,81
FGRIP-C11,,7,63
FGRIP-C11,,7,77
FGRIP-C11,,7,78
FGRIP-C11,,7,55
NEXIA-C3,,11,95
NEXIA-C3,,11,94
NEXIA-C3,,6,21
NEXIA-C3,,6,26
NEXIA-C3,,6,26
SENSE-C9,,5,68
SENSE-C9,,5,68
SENSE-C9,,5,50
SENSE-C9,,5,50
